"scen","rule","condition","question","character.count","text_violation","purpose_violation","conflict","prop_conflict"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","under","Two friends drink wine sitting on a station bench the entire night.",67,0,1,1,"high"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","under","A vagrant spends the night sleeping on the station floor.",57,0,1,1,"high"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","under","A vagrant spends the whole night on a bench but does not sleep.",63,0,1,1,"high"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","under","A backpacker spends the night sleeping behind a station bench.",62,0,1,1,"high"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","under","A homeless woman spends the whole night walking around the station.",67,0,1,1,"high"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","core","A homeless woman makes her bed on a station bench and falls asleep.",67,1,1,0,"low"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","core","A drunk man sleeps on a station bench after missing the last train.",67,1,1,0,"low"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","core","A backpacker spends the night sleeping on a station bench.",58,1,1,0,"low"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","core","A nightclub dancer falls asleep on a station bench after work.",62,1,1,0,"low"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","core","A vagrant spends the night sleeping on a bench at the station.",62,1,1,0,"low"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","off","A commuter sits on a station bench while waiting for her train.",63,0,0,0,"low"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","off","A backpacker looks for her lost phone on the station platform.",62,0,0,0,"low"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","off","A woman studies the timetable to plan her weekend get-away.",59,0,0,0,"low"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","off","A businesswoman enters the station and buys her train ticket.",61,0,0,0,"low"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","off","A student reads a book while waiting for the train to school.",61,0,0,0,"low"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","over","A commuter briefly falls asleep on a bench waiting for his train.",65,1,0,1,"low"
"slee","To avoid people spending the night at the train station, the manager posted a rule: ""No sleeping allowed on the benches"".","under","A vagrant spends the whole night on a bench but does not sleep.",63,0,1,1,"low"
